timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h,odds_home_team,odds_away_team,odds_start_time,odds_market_type,odds_team,odds_price,odds_point,odds_last_fetch_time
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LEHBU-147,Lehigh at Boston University: Total Points,active,binary,,0.18,0.26,0.74,0.82,1251871.19,1754.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LEHBU-144,Lehigh at Boston University: Total Points,active,binary,,0.3,0.32,0.68,0.7,1224499.61,86694.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LEHBU-141,Lehigh at Boston University: Total Points,active,binary,,0.36,0.48,0.52,0.64,1235609.26,2911.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-155,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.15,0.23,0.77,0.85,1518702.69,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-152,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.21,0.27,0.73,0.79,1460314.7,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-149,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.28,0.33,0.67,0.72,1200886.17,1.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-146,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.34,0.35,0.65,0.66,1307926.34,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-143,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.44,0.46,0.54,0.56,1358658.21,48.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-140,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.51,0.53,0.47,0.49,1437220.04,3015.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-137,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.55,0.58,0.42,0.45,1351524.18,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-134,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.63,0.66,0.34,0.37,1229322.27,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-131,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.72,0.75,0.25,0.28,983001.44,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-128,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.74,0.82,0.18,0.26,1524868.72,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14LMUORST-125,Loyola Marymount at Oregon St.: Total Points,active,binary,,0.8,0.87,0.13,0.2,1647299.55,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SHSUJVST-153,Sam Houston at Jacksonville St.: Total Points,active,binary,,0.4,0.43,0.57,0.6,24413.08,56.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SHSUJVST-150,Sam Houston at Jacksonville St.: Total Points,active,binary,,0.47,0.48,0.52,0.53,47669.96,24640.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SHSUJVST-147,Sam Houston at Jacksonville St.: Total Points,active,binary,,0.54,0.59,0.41,0.46,9425.35,2441.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-168,Pacific at Santa Clara: Total Points,active,binary,,0.12,0.2,0.8,0.88,1510395.88,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-165,Pacific at Santa Clara: Total Points,active,binary,,0.17,0.24,0.76,0.83,1489015.47,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-162,Pacific at Santa Clara: Total Points,active,binary,,0.23,0.28,0.72,0.77,950002.78,1.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-159,Pacific at Santa Clara: Total Points,active,binary,,0.29,0.33,0.67,0.71,1295234.7,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-156,Pacific at Santa Clara: Total Points,active,binary,,0.36,0.4,0.6,0.64,1327378.79,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-153,Pacific at Santa Clara: Total Points,active,binary,,0.45,0.47,0.53,0.55,1374469.17,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-150,Pacific at Santa Clara: Total Points,active,binary,,0.53,0.55,0.45,0.47,1368906.5,204.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-147,Pacific at Santa Clara: Total Points,active,binary,,0.6,0.63,0.37,0.4,1316595.44,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-144,Pacific at Santa Clara: Total Points,active,binary,,0.67,0.7,0.3,0.33,1204837.01,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-141,Pacific at Santa Clara: Total Points,active,binary,,0.72,0.76,0.24,0.28,1019651.82,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PACSCU-138,Pacific at Santa Clara: Total Points,active,binary,,0.75,0.82,0.18,0.25,1590497.59,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-160,Portland at Pepperdine: Total Points,active,binary,,0.17,0.24,0.76,0.83,1489440.45,26.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-157,Portland at Pepperdine: Total Points,active,binary,,0.23,0.29,0.71,0.77,950177.56,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-154,Portland at Pepperdine: Total Points,active,binary,,0.3,0.34,0.66,0.7,1295678.67,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-151,Portland at Pepperdine: Total Points,active,binary,,0.38,0.41,0.59,0.62,1327750.96,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-148,Portland at Pepperdine: Total Points,active,binary,,0.46,0.47,0.53,0.54,1373457.73,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-145,Portland at Pepperdine: Total Points,active,binary,,0.53,0.54,0.46,0.47,1382065.41,1880.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-142,Portland at Pepperdine: Total Points,active,binary,,0.6,0.63,0.37,0.4,1317146.03,38.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-139,Portland at Pepperdine: Total Points,active,binary,,0.67,0.7,0.3,0.33,1203132.5,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-136,Portland at Pepperdine: Total Points,active,binary,,0.72,0.77,0.23,0.28,1019297.8,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-133,Portland at Pepperdine: Total Points,active,binary,,0.75,0.82,0.18,0.25,1589931.92,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14PORTPEPP-130,Portland at Pepperdine: Total Points,active,binary,,0.8,0.87,0.13,0.2,1647445.81,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-173,Virginia Tech at SMU: Total Points,active,binary,,0.08,0.15,0.85,0.92,1507802.48,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-170,Virginia Tech at SMU: Total Points,active,binary,,0.12,0.19,0.81,0.88,1486387.83,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-167,Virginia Tech at SMU: Total Points,active,binary,,0.17,0.24,0.76,0.83,946949.69,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-164,Virginia Tech at SMU: Total Points,active,binary,,0.23,0.3,0.7,0.77,1292425.71,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-161,Virginia Tech at SMU: Total Points,active,binary,,0.29,0.35,0.65,0.71,1324669.66,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14VTSMU-158,Virginia Tech at SMU: Total Points,active,binary,,0.39,0.41,0.59,0.61,1362056.76,4006.0,,,,,,,,
