timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:56.134672Z,KXNCAAFGAME-25NOV15USAULM-USA,South Alabama at Louisiana-Monroe Winner?,active,binary,0.52,0.02,0.75,0.02,0.25,0.02,0.48,0.02,0.23,0.23,27,13,799050.31,0.0
2025-11-07T23:17:56.200923Z,KXNCAAFGAME-25NOV15USAULM-ULM,South Alabama at Louisiana-Monroe Winner?,active,binary,0.25,0.02,0.46,0.02,0.54,0.02,0.75,0.02,0.21,0.21,25,18,798223.57,0.0
2025-11-07T23:17:56.263550Z,KXNCAAFGAME-25NOV15PURWASH-WASH,Purdue at Washington Winner?,active,binary,0.73,0.02,0.89,0.02,0.11,0.02,0.27,0.02,0.16,0.16,41,10,1015702.05,138.0
2025-11-07T23:17:56.322347Z,KXNCAAFGAME-25NOV15PURWASH-PUR,Purdue at Washington Winner?,active,binary,0.15,0.02,0.24,0.02,0.76,0.02,0.85,0.02,0.09,0.09,15,28,1028412.6,163.0
2025-11-07T23:17:56.382805Z,KXNCAAFGAME-25NOV15ORSTTLSA-TLSA,Oregon St. at Tulsa Winner?,active,binary,0.31,0.02,0.54,0.02,0.46,0.02,0.69,0.02,0.23,0.23,26,14,853503.39,0.0
2025-11-07T23:17:56.440184Z,KXNCAAFGAME-25NOV15ORSTTLSA-ORST,Oregon St. at Tulsa Winner?,active,binary,0.45,0.02,0.66,0.02,0.34,0.02,0.55,0.02,0.21,0.21,26,17,853369.63,0.0
2025-11-07T23:17:56.502217Z,KXNCAAFGAME-25NOV15TEXUGA-UGA,Texas at Georgia Winner?,active,binary,0.64,0.02,0.66,0.02,0.34,0.02,0.36,0.02,0.02,0.02,43,26,1156741.71,193.0
2025-11-07T23:17:56.560348Z,KXNCAAFGAME-25NOV15TEXUGA-TEX,Texas at Georgia Winner?,active,binary,0.34,0.02,0.37,0.02,0.63,0.02,0.66,0.02,0.03,0.03,28,29,1088236.64,2861.0
2025-11-07T23:17:56.624217Z,KXNCAAFGAME-25NOV15UTSACHAR-UTSA,UTSA at Charlotte Winner?,active,binary,0.7,0.02,0.9,0.02,0.1,0.02,0.3,0.02,0.2,0.2,31,9,935084.16,0.0
2025-11-07T23:17:56.688187Z,KXNCAAFGAME-25NOV15UTSACHAR-CHAR,UTSA at Charlotte Winner?,active,binary,0.24,0.02,0.25,0.02,0.75,0.02,0.76,0.02,0.01,0.01,24,25,961534.73,0.0
