timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h
2026-01-12T18:22:03.953748-05:00,KXNCAAMBGAME-26JAN12SCSTCOPP-SCST,South Carolina St. at Coppin St. Winner?,active,binary,,0.52,0.54,,,,
2026-01-12T18:22:03.953980-05:00,KXNCAAMBGAME-26JAN12SCSTCOPP-COPP,South Carolina St. at Coppin St. Winner?,active,binary,,0.47,0.48,,,,
2026-01-12T18:22:03.954060-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:03.954130-05:00,KXNCAAMBGAME-26JAN12DSUHOW-HOW,Delaware St. at Howard Winner?,active,binary,,0.8,0.82,,,,
2026-01-12T18:22:03.954253-05:00,KXNFLSPREAD-26JAN12HOUPIT-PIT2,Pittsburgh wins by over 2.5 points?,active,binary,,0.37,0.38,,,,
2026-01-12T18:22:03.954373-05:00,KXNBAGAME-26JAN12UTACLE-UTA,Utah at Cleveland Winner?,active,binary,,0.18,0.19,,,,
2026-01-12T18:22:03.954460-05:00,KXNBAGAME-26JAN12BOSIND-IND,Boston at Indiana Winner?,active,binary,,0.34,0.35,,,,
2026-01-12T18:22:03.954550-05:00,KXNCAAMBSPREAD-26JAN12SCSTCOPP-SCST1,South Carolina St. wins by over 1.5 Points?,active,binary,,0.48,0.49,,,,
2026-01-12T18:22:03.954654-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU1,North Carolina Central wins by over 1.5 Points?,active,binary,,0.6,0.62,,,,
2026-01-12T18:22:03.954716-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:22:03.954767-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:22:03.954922-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:03.954970-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:03.955040-05:00,KXNBASPREAD-26JAN12BOSIND-IND3,Indiana wins by over 3.5 Points?,active,binary,,0.28,0.31,,,,
2026-01-12T18:22:03.955157-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:04.955028-05:00,KXNBAGAME-26JAN12BOSIND-IND,Boston at Indiana Winner?,active,binary,,0.34,0.35,,,,
2026-01-12T18:22:04.955282-05:00,KXNCAAMBSPREAD-26JAN12ARPBPV-PV2,Prairie View A&M wins by over 2.5 Points?,active,binary,,0.55,0.56,,,,
2026-01-12T18:22:04.955555-05:00,KXNBASPREAD-26JAN12BOSIND-BOS6,Boston wins by over 6.5 Points?,active,binary,,0.44,0.46,,,,
2026-01-12T18:22:04.955648-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU1,North Carolina Central wins by over 1.5 Points?,active,binary,,0.6,0.62,,,,
2026-01-12T18:22:04.955709-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-MORG2,Morgan St. wins by over 2.5 Points?,active,binary,,0.33,0.34,,,,
2026-01-12T18:22:04.955782-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU2,Houston wins by over 2.5 points?,active,binary,,0.53,0.54,,,,
2026-01-12T18:22:04.955859-05:00,KXNBASPREAD-26JAN12BOSIND-IND3,Indiana wins by over 3.5 Points?,active,binary,,0.28,0.31,,,,
2026-01-12T18:22:04.955967-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:04.956014-05:00,KXNCAAMBSPREAD-26JAN12SCSTCOPP-COPP2,Coppin St. wins by over 2.5 Points?,active,binary,,0.37,0.4,,,,
2026-01-12T18:22:04.956065-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:04.956111-05:00,KXNBAGAME-26JAN12BKNDAL-BKN,Brooklyn at Dallas Winner?,active,binary,,0.4,0.41,,,,
2026-01-12T18:22:04.956160-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:04.956202-05:00,KXNBATOTAL-26JAN12BOSIND-218,Boston at Indiana: Total Points,active,binary,,0.66,0.67,,,,
2026-01-12T18:22:04.956377-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:22:04.956474-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:06.022064-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-NCCU,North Carolina Central at Morgan St. Winner?,active,binary,,0.62,0.63,,,,
2026-01-12T18:22:06.023566-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-148,North Carolina Central at Morgan St.: Total Points,active,binary,,0.38,0.4,,,,
2026-01-12T18:22:06.023957-05:00,KXNFLTOTAL-26JAN12HOUPIT-45,Houston at Pittsburgh: Total Points,active,binary,,0.28,0.3,,,,
2026-01-12T18:22:06.024261-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:22:06.024540-05:00,KXNCAAMBGAME-26JAN12NCCUMORG-MORG,North Carolina Central at Morgan St. Winner?,active,binary,,0.39,0.42,,,,
2026-01-12T18:22:06.024818-05:00,KXNBATOTAL-26JAN12BOSIND-218,Boston at Indiana: Total Points,active,binary,,0.66,0.67,,,,
2026-01-12T18:22:06.025108-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU2,Houston wins by over 2.5 points?,active,binary,,0.53,0.54,,,,
